epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,90.316,0.75909,1.39382,1.11847,0.75153,0.53031,0.68382,0.47457,1.67687,1.56002,1.37043,2.82082e-05,2.82082e-05,2.82082e-05
40,92.9871,0.44001,1.36367,1.02969,0.75153,0.53031,0.68382,0.47457,1.67687,1.56002,1.37043,2.84911e-05,2.84911e-05,2.84911e-05
41,95.9697,0.77715,1.01254,1.21087,0.74499,0.53333,0.68375,0.45609,1.69251,1.63876,1.38491,2.87504e-05,2.87504e-05,2.87504e-05
42,98.1415,0.84994,1.49657,1.34944,0.74499,0.53333,0.68375,0.45609,1.69251,1.63876,1.38491,2.89861e-05,2.89861e-05,2.89861e-05
43,100.15,1.02338,1.68898,1.37859,0.58976,0.5441,0.68176,0.44713,1.71226,1.69567,1.40561,2.91983e-05,2.91983e-05,2.91983e-05
44,102.048,0.95983,1.56817,1.37147,0.58976,0.5441,0.68176,0.44713,1.71226,1.69567,1.40561,2.93869e-05,2.93869e-05,2.93869e-05
45,103.944,0.78335,1.1194,1.23218,0.74503,0.51667,0.61876,0.39052,1.73444,1.75466,1.42001,2.9552e-05,2.9552e-05,2.9552e-05
46,105.79,0.78316,0.758,1.08094,0.74503,0.51667,0.61876,0.39052,1.73444,1.75466,1.42001,2.96935e-05,2.96935e-05,2.96935e-05
47,107.776,1.07549,1.07995,1.40945,0.74887,0.51667,0.61649,0.35597,1.72443,1.76025,1.41294,2.98114e-05,2.98114e-05,2.98114e-05
48,109.606,0.76183,0.86584,1.20402,0.74887,0.51667,0.61649,0.35597,1.72443,1.76025,1.41294,2.99058e-05,2.99058e-05,2.99058e-05
49,111.485,0.56175,0.92336,1.05512,0.76214,0.51667,0.60952,0.35494,1.71764,1.84309,1.41777,2.99766e-05,2.99766e-05,2.99766e-05
50,113.338,0.84784,0.9573,1.31024,0.76214,0.51667,0.60952,0.35494,1.71764,1.84309,1.41777,3.00238e-05,3.00238e-05,3.00238e-05
51,115.244,0.71483,0.98137,1.03044,0.79118,0.51622,0.53863,0.29228,1.7542,1.93532,1.43774,3.00475e-05,3.00475e-05,3.00475e-05
52,117.362,0.51344,0.81039,1.00889,0.79118,0.51622,0.53863,0.29228,1.7542,1.93532,1.43774,3.00476e-05,3.00476e-05,3.00476e-05
53,119.258,0.71859,0.96627,1.17727,0.79118,0.51622,0.53863,0.29228,1.7542,1.93532,1.43774,3.00242e-05,3.00242e-05,3.00242e-05
54,121.248,0.7381,0.84177,1.18303,0.8017,0.51002,0.5352,0.27234,1.80258,2.04401,1.45385,2.99772e-05,2.99772e-05,2.99772e-05
55,123.201,0.80542,0.94059,1.20728,0.8017,0.51002,0.5352,0.27234,1.80258,2.04401,1.45385,2.99066e-05,2.99066e-05,2.99066e-05
56,125.157,1.12252,1.4101,1.32617,0.8017,0.51002,0.5352,0.27234,1.80258,2.04401,1.45385,2.98125e-05,2.98125e-05,2.98125e-05
57,127.25,0.86403,0.90256,1.28556,0.80098,0.50885,0.52298,0.25873,1.80791,2.10638,1.45693,2.96948e-05,2.96948e-05,2.96948e-05
58,129.114,0.58536,0.68264,1.01796,0.80098,0.50885,0.52298,0.25873,1.80791,2.10638,1.45693,2.95535e-05,2.95535e-05,2.95535e-05
59,130.989,0.76195,0.9987,1.28741,0.80098,0.50885,0.52298,0.25873,1.80791,2.10638,1.45693,2.93887e-05,2.93887e-05,2.93887e-05
60,132.893,0.67084,1.15321,1.19124,0.81392,0.50519,0.52119,0.26133,1.75641,2.10559,1.44231,2.92003e-05,2.92003e-05,2.92003e-05
61,134.752,0.87549,1.08143,1.1823,0.81392,0.50519,0.52119,0.26133,1.75641,2.10559,1.44231,2.89884e-05,2.89884e-05,2.89884e-05
62,136.628,0.8658,0.88699,1.29859,0.81392,0.50519,0.52119,0.26133,1.75641,2.10559,1.44231,2.87529e-05,2.87529e-05,2.87529e-05
63,138.547,0.7889,1.41065,1.09443,0.80959,0.50584,0.52226,0.26216,1.74559,2.13943,1.43854,2.84938e-05,2.84938e-05,2.84938e-05
64,140.698,0.75323,0.85986,1.23753,0.80959,0.50584,0.52226,0.26216,1.74559,2.13943,1.43854,2.82112e-05,2.82112e-05,2.82112e-05
65,142.949,0.7735,0.97291,1.13289,0.80959,0.50584,0.52226,0.26216,1.74559,2.13943,1.43854,2.7905e-05,2.7905e-05,2.7905e-05
66,145.23,0.81979,0.88275,1.25488,0.81607,0.49964,0.5213,0.26096,1.70814,2.17988,1.42022,2.75753e-05,2.75753e-05,2.75753e-05
67,147.705,0.83593,1.18766,1.24075,0.81607,0.49964,0.5213,0.26096,1.70814,2.17988,1.42022,2.7222e-05,2.7222e-05,2.7222e-05
68,150.201,0.6678,0.82889,1.09126,0.81607,0.49964,0.5213,0.26096,1.70814,2.17988,1.42022,2.68451e-05,2.68451e-05,2.68451e-05
69,152.64,0.6952,0.67182,1.19089,0.82646,0.49529,0.51921,0.25654,1.73363,2.15337,1.42876,2.64447e-05,2.64447e-05,2.64447e-05
70,154.994,0.68853,0.64276,1.01402,0.82646,0.49529,0.51921,0.25654,1.73363,2.15337,1.42876,2.60207e-05,2.60207e-05,2.60207e-05
71,156.876,0.85211,0.84746,1.23218,0.82646,0.49529,0.51921,0.25654,1.73363,2.15337,1.42876,2.55731e-05,2.55731e-05,2.55731e-05
72,158.821,0.88114,0.97946,1.1564,0.82315,0.49697,0.51987,0.25262,1.77447,2.22022,1.45834,2.5102e-05,2.5102e-05,2.5102e-05
73,160.79,0.76584,1.05894,1.15933,0.82315,0.49697,0.51987,0.25262,1.77447,2.22022,1.45834,2.46073e-05,2.46073e-05,2.46073e-05
74,162.75,0.819,0.75122,1.12949,0.82315,0.49697,0.51987,0.25262,1.77447,2.22022,1.45834,2.40891e-05,2.40891e-05,2.40891e-05
75,164.709,0.67323,0.63945,1.19984,0.81935,0.49591,0.52692,0.26076,1.76999,2.2235,1.46022,2.35472e-05,2.35472e-05,2.35472e-05
76,166.514,0.55811,0.7353,1.04852,0.81935,0.49591,0.52692,0.26076,1.76999,2.2235,1.46022,2.29819e-05,2.29819e-05,2.29819e-05
77,168.418,0.7183,0.72495,1.19225,0.81935,0.49591,0.52692,0.26076,1.76999,2.2235,1.46022,2.23929e-05,2.23929e-05,2.23929e-05
78,170.522,0.60779,0.9691,1.08574,0.82442,0.49416,0.52629,0.26002,1.76635,2.28625,1.46774,2.17805e-05,2.17805e-05,2.17805e-05
79,172.532,0.89133,0.74824,1.20733,0.82442,0.49416,0.52629,0.26002,1.76635,2.28625,1.46774,2.11444e-05,2.11444e-05,2.11444e-05
80,174.455,0.71732,0.73593,1.09222,0.82442,0.49416,0.52629,0.26002,1.76635,2.28625,1.46774,2.04848e-05,2.04848e-05,2.04848e-05
81,176.463,0.69772,0.66132,1.21974,0.83626,0.49113,0.51571,0.24473,1.76619,2.23254,1.45561,1.98016e-05,1.98016e-05,1.98016e-05
82,179.104,0.62963,0.69108,1.02684,0.83626,0.49113,0.51571,0.24473,1.76619,2.23254,1.45561,1.90949e-05,1.90949e-05,1.90949e-05
83,181.416,0.74416,0.73981,1.11248,0.83626,0.49113,0.51571,0.24473,1.76619,2.23254,1.45561,1.83646e-05,1.83646e-05,1.83646e-05
84,183.705,0.74431,0.83708,1.12117,0.83262,0.49166,0.51656,0.27272,1.79741,2.30279,1.47873,1.76107e-05,1.76107e-05,1.76107e-05
85,185.629,0.67257,0.74493,1.12143,0.83262,0.49166,0.51656,0.27272,1.79741,2.30279,1.47873,1.68333e-05,1.68333e-05,1.68333e-05
86,187.429,0.92411,1.13223,1.44526,0.83262,0.49166,0.51656,0.27272,1.79741,2.30279,1.47873,1.60323e-05,1.60323e-05,1.60323e-05
87,189.427,0.72972,1.04926,1.20818,0.83262,0.49166,0.51656,0.27272,1.79741,2.30279,1.47873,1.52077e-05,1.52077e-05,1.52077e-05
