epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,54.4343,0.82537,2.78861,0.3199,1.92295,1.01817,0.01083,0.92857,0.54176,0.3354,0.005,0.42857,0.0893,0.01153,1.10419,6.63354,0.49293,2.81705,1.32287,0.000386152,0.000386152,0.000386152
28,56.2742,1.03911,3.06557,0.3484,1.96163,1.04796,0.01083,0.92857,0.54176,0.3354,0.005,0.42857,0.0893,0.01153,1.10419,6.63354,0.49293,2.81705,1.32287,0.000395658,0.000395658,0.000395658
29,58.1018,0.77875,3.10732,0.33093,1.851,1.01934,0.01083,0.92857,0.53921,0.36888,0.00333,0.28571,0.07821,0.00797,1.15028,6.86883,0.54035,2.81824,1.3473,0.000404768,0.000404768,0.000404768
30,59.8929,0.96277,3.7367,0.33509,1.87265,1.00015,0.01083,0.92857,0.53921,0.36888,0.00333,0.28571,0.07821,0.00797,1.15028,6.86883,0.54035,2.81824,1.3473,0.000413482,0.000413482,0.000413482
31,61.7682,0.65115,2.58758,0.3604,1.75605,0.95253,0.01083,0.92857,0.53113,0.34454,0.00083,0.07143,0.01913,0.00383,1.12497,7.06434,0.57336,2.83834,1.3218,0.0004218,0.0004218,0.0004218
32,63.597,1.13025,4.03269,0.34696,1.839,1.15203,0.01083,0.92857,0.53113,0.34454,0.00083,0.07143,0.01913,0.00383,1.12497,7.06434,0.57336,2.83834,1.3218,0.000429722,0.000429722,0.000429722
33,65.4491,0.99303,3.71138,0.29227,1.79474,1.093,0.01083,0.92857,0.55703,0.33635,0.00333,0.28571,0.02037,0.00384,1.16724,7.26519,0.62229,2.82918,1.343,0.000437248,0.000437248,0.000437248
34,67.2054,0.85513,2.8245,0.34336,1.6437,1.0237,0.01083,0.92857,0.55703,0.33635,0.00333,0.28571,0.02037,0.00384,1.16724,7.26519,0.62229,2.82918,1.343,0.000444378,0.000444378,0.000444378
35,69.1743,0.91823,3.33627,0.40537,1.65675,0.98297,0.01083,0.92857,0.57298,0.37523,0.0025,0.21429,0.01626,0.00311,1.16563,7.55276,0.67444,2.82506,1.34681,0.000451112,0.000451112,0.000451112
36,70.9678,1.40924,5.19319,0.39018,2.12971,1.40588,0.01083,0.92857,0.57298,0.37523,0.0025,0.21429,0.01626,0.00311,1.16563,7.55276,0.67444,2.82506,1.34681,0.00045745,0.00045745,0.00045745
37,72.8056,0.78948,2.7065,0.29219,1.48616,0.97428,0.01083,0.92857,0.52364,0.32849,0.00167,0.14286,0.01287,0.00148,1.12362,7.83292,0.65593,2.84325,1.33726,0.000463392,0.000463392,0.000463392
38,74.6148,1.05438,3.86913,0.33519,1.75655,1.35156,0.01083,0.92857,0.52364,0.32849,0.00167,0.14286,0.01287,0.00148,1.12362,7.83292,0.65593,2.84325,1.33726,0.000468938,0.000468938,0.000468938
39,76.5199,0.81238,2.67622,0.28423,1.45979,0.96621,0.01167,1,0.5037,0.30888,0.00167,0.14286,0.14571,0.01457,1.15817,8.05153,0.66395,2.83999,1.27295,0.000474088,0.000474088,0.000474088
40,78.3182,0.78901,2.78613,0.35644,1.37068,1.0245,0.01167,1,0.5037,0.30888,0.00167,0.14286,0.14571,0.01457,1.15817,8.05153,0.66395,2.83999,1.27295,0.000478842,0.000478842,0.000478842
41,80.2195,0.85065,2.60271,0.31867,1.29134,0.99855,0.01167,1,0.50196,0.29099,0.00333,0.28571,0.15742,0.03976,1.27364,8.20867,0.64173,2.8454,1.32961,0.0004832,0.0004832,0.0004832
42,82.0522,0.87992,3.70922,0.37113,1.38238,1.01947,0.01167,1,0.50196,0.29099,0.00333,0.28571,0.15742,0.03976,1.27364,8.20867,0.64173,2.8454,1.32961,0.000487162,0.000487162,0.000487162
43,83.9453,1.14575,4.55797,0.42074,1.58992,1.12145,0.01083,0.92857,0.53834,0.25792,0.0025,0.21429,0.16931,0.04708,1.39722,8.34976,0.63524,2.85733,1.38861,0.000490728,0.000490728,0.000490728
44,85.8804,1.13439,3.98527,0.32898,1.40742,1.04008,0.01083,0.92857,0.53834,0.25792,0.0025,0.21429,0.16931,0.04708,1.39722,8.34976,0.63524,2.85733,1.38861,0.000493898,0.000493898,0.000493898
45,89.0813,0.75063,3.0885,0.33529,1.34519,1.07576,0.01083,0.92857,0.46742,0.20237,0.00333,0.28571,0.06605,0.02198,1.55474,8.54543,0.65547,2.91349,1.61917,0.000496672,0.000496672,0.000496672
46,93.0008,0.83296,2.38604,0.31106,1.22335,1.03825,0.01083,0.92857,0.46742,0.20237,0.00333,0.28571,0.06605,0.02198,1.55474,8.54543,0.65547,2.91349,1.61917,0.00049905,0.00049905,0.00049905
47,95.1998,0.89087,3.01602,0.29608,1.30162,0.95598,0.01083,0.92857,0.45142,0.17853,0.00333,0.28571,0.14993,0.03436,1.63199,8.69467,0.69198,2.95865,1.71996,0.000501032,0.000501032,0.000501032
